name,project_gid,notes
Security,1212866299430987,"Http/https duplication - occurs where both the http & https versions of a site are live. Search engines see sites hosted on http protocols and https protocols as distinct entities. For example, the site http://www.example.com is entirely distinct from https://www.example.com. If users arrive on the NON-default protocol (http/https) does the website redirect users using a 301, 302, or 307 redirect to the most appropriate URL? *\r\nGuidance"
Indexability,1212873179591521,Monitoreo y optmización de indexación y tráfico por posicionamiento de keywords
Links,1212868158029420,Estrategia de optmización del dominio frente a otras webs.
Mobile,1212872347739609,Optimización experience en formato responsive.
Site Speed,1212873178310021,Mejoras para aumentar la velocidad de carga de la web.
Usability,1212868158035630,Avances en experiencia de usuario e interacción con el usuario.
Content,1212873179601425,Optmización de contenidos a nivel de rastreo y keywords.
Local,1212872347734836,Avances en la geolocalización de puntos de la marca.
Analytics,1212873178327015,Monitorio histórico y gráfico de los kpis y métricas del activo digital.
